player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_possessions,stats_points,stats_ppp,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType,stats_timePercent,stats_pppRank,stats_ftPercent
James,Johnson,James Johnson,615a2ab8e771e94fc0ad82c5,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,64,5,2,0.4,1,2,3,0.3333333333333333,0.3333333333333333,1,2,3,0.3333333333333333,0,0,0,0,0,0,0,0,1,2,6120261cea4488c9fd5c57c5,,PostUp,,,
Kevin,Huerter,Kevin Huerter,5bb2ae87aeda71993907f691,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,84,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Greg,Monroe,Greg Monroe,61d903c7df8a6a3c1184fa20,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,2,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Bogdan,Bogdanovic,Bogdan Bogdanovic,5fd42b555fe05a0e9f82087b,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,72,10,7,0.7,3,6,9,0.3333333333333333,0.3333333333333333,3,6,9,0.3333333333333333,0,0,0,1,1,2,0,1,4,0,6120261cea4488c9fd5c57c5,,PostUp,0.009689922480620155,158,0.5
DeMar,DeRozan,DeMar DeRozan,615d0923e771e94fc00a6bcb,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,85,133,144,1.0827067669172932,50,53,103,0.4854368932038835,0.4854368932038835,50,53,103,0.4854368932038835,0,0,0,44,3,47,7,27,70,10,6120261cea4488c9fd5c57c5,,PostUp,0.0617169373549884,31,0.9361702127659575
Day'Ron,Sharpe,Day'Ron Sharpe,615a2ab8e771e94fc0ad82db,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,35,18,22,1.2222222222222223,8,3,11,0.7272727272727273,0.7272727272727273,8,3,11,0.7272727272727273,0,0,0,6,0,6,0,3,11,4,6120261cea4488c9fd5c57c5,,PostUp,0.08571428571428572,13,1.0
Svi,Mykhailiuk,Svi Mykhailiuk,615ba9bde771e94fc0bc4785,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,64,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Brook,Lopez,Brook Lopez,5bb553e3aeda719939fe7df7,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,29,38,26,0.6842105263157895,11,21,32,0.34375,0.34375,11,21,32,0.34375,0,0,0,4,0,4,2,3,12,5,6120261cea4488c9fd5c57c5,,PostUp,0.11987381703470032,159,1.0
Fred,VanVleet,Fred VanVleet,57ac20c4576202139867d80e,Toronto Raptors,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Toronto,TOR,54457dd3300969b132fcfe50,73,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Udonis,Haslem,Udonis Haslem,544580cc300969b132fd452d,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,14,2,2,1.0,1,1,2,0.5,0.5,1,1,2,0.5,0,0,0,0,0,0,0,0,1,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Killian,Hayes,Killian Hayes,5fd42b7d5fe05a0e9f828cb3,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,67,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Semi,Ojeleye,Semi Ojeleye,615d0caee771e94fc01cac2d,Milwaukee Bucks,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Milwaukee,MIL,54457dd3300969b132fcfe4f,20,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
Romeo,Langford,Romeo Langford,5d9a87a67455336e87b9df94,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,48,1,3,3.0,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,1,0,1,1,1,1,0,6120261cea4488c9fd5c57c5,,PostUp,,,1.0
Daniel,Gafford,Daniel Gafford,605fe6b25fe05a0e9fe5d388,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,76,30,34,1.1333333333333333,14,8,22,0.6363636363636364,0.6363636363636364,14,8,22,0.6363636363636364,0,0,0,6,5,11,3,6,17,4,6120261cea4488c9fd5c57c5,,PostUp,0.05226480836236934,22,0.5454545454545454
Miles,McBride,Miles McBride,615d00e0e771e94fc0d2929c,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,43,1,0,0.0,0,1,1,0.0,0.0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,6120261cea4488c9fd5c57c5,,PostUp,,,
